fire_name,centroid_lat,centroid_lon,asset_weight,fetch_radius_m,amenity,building,landuse
ALMEDA DRIVE,42.200150150152,-122.70719975259608,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19983325941225,-122.70724439332857,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19993704326393,-122.70645132617203,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19581609488766,-122.70461998287537,4.0,37100.0,,residential,
ALMEDA DRIVE,42.19443924849556,-122.6983025772728,6.0,37100.0,police,yes,
ALMEDA DRIVE,42.32432817526861,-122.87184824543088,2.0,37100.0,,,commercial
ALMEDA DRIVE,42.43196953180363,-123.0512824573581,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43270826833129,-123.06270769408962,8.0,37100.0,school,,
ALMEDA DRIVE,42.43192717274609,-123.05089248213535,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.3041131077295,-122.89176720719767,8.0,37100.0,school,,
ALMEDA DRIVE,42.2936293178845,-122.907637928278,8.0,37100.0,school,,
ALMEDA DRIVE,42.32931705496205,-122.85725345531071,8.0,37100.0,school,,
ALMEDA DRIVE,42.43774954139398,-122.8286033398099,8.0,37100.0,school,,
ALMEDA DRIVE,42.20568154193013,-122.72494939142027,10.0,37100.0,hospital,,
ALMEDA DRIVE,42.3180130125381,-122.83048450407168,10.0,37100.0,hospital,,
ALMEDA DRIVE,42.4416074364255,-122.83867203778667,10.0,37100.0,hospital,,
ALMEDA DRIVE,42.35081841715938,-122.85294401562324,9.0,37100.0,fire_station,yes,
ALMEDA DRIVE,42.251069778687636,-122.79068773609029,9.0,37100.0,fire_station,yes,
ALMEDA DRIVE,42.072586799999996,-122.6039622,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.072393600000005,-122.6043196,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.303943433465484,-122.87072141338228,4.0,37100.0,,,residential
ALMEDA DRIVE,42.30734761120116,-122.87237690243226,4.0,37100.0,,,residential
ALMEDA DRIVE,42.31099184463492,-122.87474578064725,4.0,37100.0,,,residential
ALMEDA DRIVE,42.320409109899686,-122.87747722520642,4.0,37100.0,,,residential
ALMEDA DRIVE,42.308937270961785,-122.85802877510235,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.30872793047814,-122.85744774146396,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.280345399999995,-122.8172831,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.244724555148295,-122.77881796089568,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.19819333607898,-122.71615608681026,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.32072395833946,-122.87289863954729,8.0,37100.0,school,,
ALMEDA DRIVE,42.3161676042688,-122.87220040216954,8.0,37100.0,school,,
ALMEDA DRIVE,42.18631742180999,-122.69044702020254,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.18690779807933,-122.69045244289262,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.186253024166625,-122.6916838542849,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.28302230326006,-122.8307574365936,4.0,37100.0,,,residential
ALMEDA DRIVE,42.425009027352516,-122.8513890878481,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.42891802826718,-122.85066072463441,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.29930473272798,-122.8503881521151,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.3012051500621,-122.85186912737848,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.37360223322881,-122.91437257285662,6.0,37100.0,police,yes,
ALMEDA DRIVE,42.37428032249833,-122.91410097275485,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.37504466270063,-122.91621525600944,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.37326128732493,-122.91789359770127,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.37260740000001,-122.91727655000001,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.372868971010355,-122.9174491539535,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.37197804367807,-122.91676368223368,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.37305460489425,-122.9152606730073,5.0,37100.0,,apartments,
ALMEDA DRIVE,42.352122985009714,-122.87230655912066,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.35104278707856,-122.86911201145821,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.347650179922134,-122.86715445563935,4.0,37100.0,,residential,
ALMEDA DRIVE,42.34068872491841,-122.86823014265151,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.32766314087185,-122.87366427758118,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.32749468278362,-122.8735030721505,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.32738124792178,-122.8733945348434,2.0,37100.0,,commercial,
ALMEDA DRIVE,42.33930282302612,-122.86571808121585,7.0,37100.0,clinic,yes,
ALMEDA DRIVE,42.34015742623942,-122.8880226402317,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33835532039771,-122.88633363777903,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33789144835647,-122.8868646433076,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.339272854171696,-122.88713606172158,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33888698485855,-122.88737890821766,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33727737493451,-122.88759195384681,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33801248676192,-122.88742296042598,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33804139558663,-122.887763511325,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33868946753615,-122.88803683020127,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.33925581404072,-122.88805811706663,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.339521771776155,-122.8887770574568,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.346336699999995,-122.88845380000001,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.34808409789771,-122.89130289550205,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.430578458020875,-122.85164989701524,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.42923250520271,-122.85465774792974,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.42829993122827,-122.85414330263897,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.42929230519745,-122.8518621907071,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.429047299999986,-122.85098609999997,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.429065803129895,-122.85204582368283,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.42917140621584,-122.85181708617677,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.429184668781815,-122.85206397057236,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43578088022676,-122.85104711644351,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.4356729,-122.85020994999999,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43626519024622,-122.8505841415971,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.436582231669384,-122.85052500230667,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43655493287473,-122.85019159505339,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43642717130452,-122.84969112124061,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43616520520745,-122.85023257853496,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.436004489196506,-122.85022386193323,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43620585868969,-122.84989554550182,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43603071523115,-122.84953989338143,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43477399989742,-122.84883664803814,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43496747218381,-122.84790513442285,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43261311929237,-122.86346834366927,1.5,37100.0,,,industrial
ALMEDA DRIVE,42.4402883791513,-122.8508335797811,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.44007835,-122.8499949,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.44004545,-122.8497752,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.439679749077165,-122.85011434854906,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43924190648629,-122.85119124919251,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43922010264808,-122.85078988956055,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.439260055794925,-122.85048110734094,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43923505218867,-122.85021937326239,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43959267330576,-122.84931282501714,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.438849517475276,-122.85139824161317,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43889713367986,-122.8520049866369,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.439052932173375,-122.85202358782242,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43905631497571,-122.85151512020731,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.44004179453493,-122.8523071257107,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43885857588385,-122.85505627880812,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43925236401752,-122.85367809020148,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43950532753838,-122.85442384879306,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.439400262811105,-122.85560010375782,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.434841131864694,-122.88210464683605,1.5,37100.0,,industrial,
ALMEDA DRIVE,42.43402036533658,-122.88167275815496,1.5,37100.0,,industrial,
